產品編號,產品名稱,總庫存數量
CA-MS-0019,微星 MAG PANO M100R PZ 機殼 白,6
CA-MS-0028,微星 MAG PANO 130R PZ 機殼 黑,12
CA-MS-0032,微星 PRO SHIELD M100P 機殼,33
CA-MS-0033,微星 PRO FORGE M050A 機殼,17
CO-MS-0026,微星 MAG CORELIQUID A13 360,6
CO-MS-0029,微星 MAG COREFROZA AA13 黑,23
KB-MS-0011,微星 VIGOR GK30 COMBO 鍵鼠 黑,65
LC-MS-0040,微星 PRO MP251 E2 25吋螢幕,6
LC-MS-0055,微星 G242L E14 23.8吋 電競螢幕,2
LC-MS-0061,微星 PRO MP251 E2 25吋螢幕 白,6
LC-MS-0066,微星 PRO MP273 E14A 27吋螢幕,111
LC-MS-0068,微星 PRO MP242 E14A 24吋螢幕,26
MB-MS-0017,微星 PRO B760M-A WIFI D5 主板,4
MB-MS-0029,微星 A520M-A PRO 主機板,52
MB-MS-0037,微星 B650M GAMING PLUS WIFI D5,6
MB-MS-0044,微星 X870 GAMING PLUS WIFI主板,18
MB-MS-0045,微星 B850 GAMING PLUS WIFI主板,12
MB-MS-0066,微星 MAG B850M MORTAR WIFI 主,11
MB-MS-0073,微星 B650 GAMING PLUS WIFI 主,21
MB-MS-0078,微星 B860 GAMING PLUS WIFI,7
MB-MS-0080,微星 PRO H610M-E 主板,2
MB-MS-0082,微星 PRO B860M-B 主機板,6
MB-MS-0086,微星 PRO B860-P 主機板,1
MB-MS-0091,微星 PRO B860M-E 主機板,5
MI-MS-0004,微星 H991 GAMING HEADSET 耳麥,6
MP-MS-0004,微星 CLUTCH GM08 電競滑鼠,6
MP-MS-0006,微星 VERSA 300 WIRELESS 滑鼠,24
MP-MS-0007,微星 AGILITY GD21 電競滑鼠墊,6
MP-MS-0008,微星 AGILITY GD60 電競滑鼠墊,6
NB-MS-0024,微星 PULSE 17 AI C1VGKG-022TW,6
NB-MS-0052,微星 KATANA 15 HX B14WFK 筆電,2
PO-MS-0002,微星 MAG A550BN 電源供應器,404
PO-MS-0008,微星MAG A850GL PCIE5電源供應器,101
PO-MS-0010,微星 MAG A750GL PCIE5 電源供應,41
SD-MS-0002,微星 M450 1TB M2 GEN4 SSD,17
SD-MS-0003,微星 M450 500G M2 GEN4 SSD,58
SD-MS-0013,微星 SPATIUM S270 240G 硬碟,5
VG-MS-0073,微星 RTX3050 GAMING X 6G 顯卡,1
VG-MS-0090,微星 RTX5070TI 16G VENTUS 3XOC,1
VG-MS-0095,微星 RTX3050 LP 6G OC 顯卡,2
VG-MS-0110,微星 RTX 5060 8G VENTUS 2X OC,9
VG-MS-0124,微星 RTX5060TI 8G SHA 2X OC PL,1
WA-MS-0001,微星 ROAMII BE LITE MES 路由器,6
